id,name,category,occasion,platform,price,quality_rating,delivery_days,color,size,gender,description,image_keyword
344,Structured Blazer,Blazer,Office,Manyavar,4873,4.8,5,Charcoal,S,Female,Structured Blazer for Office occasions.,"blazer,charcoal"
345,Tailored Formal Trousers,Formal Trousers,Office,Meesho,4901,3.9,2,White,XS,Female,Tailored Formal Trousers for Office occasions.,"formal,trousers,white"
346,Professional Formal Kurti,Formal Kurti,Office,Amazon,4757,4.9,6,Beige,XS,Female,Professional formal kurti suitable for office environments.,"formal,kurti,beige"
347,Formal Saree,Saree,Office,Manyavar,4543,4.4,4,Charcoal,XL,Female,Formal Saree for Office occasions.,"saree,charcoal"
348,Tailored Shirt,Shirt,Office,Myntra,1847,4.5,3,White,XS,Female,Tailored Shirt for Office occasions.,"shirt,white"
349,Structured Blazer,Blazer,Office,Manyavar,2439,5.0,2,Grey,XS,Female,Structured Blazer for Office occasions.,"blazer,grey"
350,Crisp Formal Trousers,Formal Trousers,Office,Myntra,1170,4.5,5,Charcoal,XL,Female,Crisp Formal Trousers for Office occasions.,"formal,trousers,charcoal"
351,Crisp Shirt,Shirt,Office,Manyavar,1907,4.3,6,Cream,XL,Male,Crisp formal shirt for office and professional settings.,"shirt,cream"
352,Professional Formal Suit,Formal Suit,Office,Amazon,4678,3.9,3,Charcoal,XL,Male,Professional Formal Suit for Office occasions.,"formal,suit,charcoal"
353,Tailored Blazer,Blazer,Office,Myntra,4297,4.2,2,Black,XS,Male,Tailored Blazer for Office occasions.,"blazer,black"
354,Crisp Formal Trousers,Formal Trousers,Office,Amazon,689,4.6,3,Charcoal,M,Male,Crisp Formal Trousers for Office occasions.,"formal,trousers,charcoal"
355,Tailored Shirt,Shirt,Office,Amazon,2299,4.2,5,Charcoal,XXL,Male,Crisp formal shirt for office and professional settings.,"shirt,charcoal"
356,Professional Formal Suit,Formal Suit,Office,Manyavar,2819,4.1,5,Grey,XS,Male,Professional Formal Suit for Office occasions.,"formal,suit,grey"
357,Crisp Blazer,Blazer,Office,Amazon,2485,4.4,7,Black,Free Size,Male,Crisp Blazer for Office occasions.,"blazer,black"
358,Classic Formal Trousers,Formal Trousers,Office,Myntra,2311,4.7,4,Black,S,Male,Classic Formal Trousers for Office occasions.,"formal,trousers,black"
359,Crisp Shirt,Shirt,Office,Amazon,1266,4.4,3,Cream,Free Size,Male,Crisp formal shirt for office and professional settings.,"shirt,cream"
360,Tailored Formal Suit,Formal Suit,Office,Meesho,2689,4.5,5,Cream,M,Male,Tailored Formal Suit for Office occasions.,"formal,suit,cream"
361,Structured Blazer,Blazer,Office,Amazon,4989,4.9,6,White,XS,Male,Structured Blazer for Office occasions.,"blazer,white"
362,Tailored Formal Trousers,Formal Trousers,Office,Manyavar,3010,4.5,7,Black,XS,Male,Tailored Formal Trousers for Office occasions.,"formal,trousers,black"
363,Tailored Shirt,Shirt,Office,Myntra,1200,3.9,4,Navy,S,Male,Crisp formal shirt for office and professional settings.,"shirt,navy"
364,Formal Formal Suit,Formal Suit,Office,Manyavar,2812,4.5,8,Navy,XXL,Male,Formal Formal Suit for Office occasions.,"formal,suit,navy"
365,Classic Blazer,Blazer,Office,Myntra,4918,4.0,6,Navy,XL,Male,Classic Blazer for Office occasions.,"blazer,navy"
366,Structured Formal Trousers,Formal Trousers,Office,Myntra,1747,4.1,8,Beige,S,Male,Structured Formal Trousers for Office occasions.,"formal,trousers,beige"
367,Structured Shirt,Shirt,Office,Amazon,1469,4.6,5,Charcoal,S,Male,Crisp formal shirt for office and professional settings.,"shirt,charcoal"
368,Structured Formal Suit,Formal Suit,Office,Manyavar,3726,4.3,3,Charcoal,S,Male,Structured Formal Suit for Office occasions.,"formal,suit,charcoal"
369,Classic Blazer,Blazer,Office,Amazon,3842,4.1,5,Cream,Free Size,Male,Classic Blazer for Office occasions.,"blazer,cream"
370,Professional Formal Trousers,Formal Trousers,Office,Myntra,4002,4.7,3,Light Blue,Free Size,Male,Professional Formal Trousers for Office occasions.,"formal,trousers,light blue"
371,Crisp Shirt,Shirt,Office,Meesho,549,4.6,2,Charcoal,XS,Male,Crisp formal shirt for office and professional settings.,"shirt,charcoal"
372,Classic Formal Suit,Formal Suit,Office,Amazon,1847,4.2,6,Grey,XL,Male,Classic Formal Suit for Office occasions.,"formal,suit,grey"
373,Structured Blazer,Blazer,Office,Manyavar,4376,4.7,8,White,XS,Male,Structured Blazer for Office occasions.,"blazer,white"
374,Tailored Formal Trousers,Formal Trousers,Office,Myntra,1960,4.6,8,Light Blue,S,Male,Tailored Formal Trousers for Office occasions.,"formal,trousers,light blue"
375,Professional Shirt,Shirt,Office,Meesho,2702,4.9,3,Black,L,Male,Crisp formal shirt for office and professional settings.,"shirt,black"
376,Crisp Formal Suit,Formal Suit,Office,Meesho,1986,4.2,5,Light Blue,L,Male,Crisp Formal Suit for Office occasions.,"formal,suit,light blue"
377,Classic Blazer,Blazer,Office,Amazon,2534,4.7,4,Light Blue,Free Size,Male,Classic Blazer for Office occasions.,"blazer,light blue"
378,Crisp Formal Trousers,Formal Trousers,Office,Myntra,3400,4.3,3,Charcoal,XS,Male,Crisp Formal Trousers for Office occasions.,"formal,trousers,charcoal"
379,Tailored Shirt,Shirt,Office,Amazon,2784,4.3,6,White,S,Male,Crisp formal shirt for office and professional settings.,"shirt,white"
380,Structured Formal Suit,Formal Suit,Office,Amazon,2743,3.9,5,Charcoal,XS,Male,Structured Formal Suit for Office occasions.,"formal,suit,charcoal"
381,Formal Blazer,Blazer,Office,Meesho,2831,3.8,8,Grey,S,Male,Formal Blazer for Office occasions.,"blazer,grey"
382,Tailored Formal Trousers,Formal Trousers,Office,Amazon,2749,5.0,7,Navy,XXL,Male,Tailored Formal Trousers for Office occasions.,"formal,trousers,navy"
383,Crisp Shirt,Shirt,Office,Amazon,917,4.1,4,White,XL,Male,Crisp formal shirt for office and professional settings.,"shirt,white"
384,Professional Formal Suit,Formal Suit,Office,Myntra,844,4.6,3,Charcoal,S,Male,Professional Formal Suit for Office occasions.,"formal,suit,charcoal"
385,Structured Blazer,Blazer,Office,Myntra,3066,4.1,3,Black,XXL,Male,Structured Blazer for Office occasions.,"blazer,black"
386,Tailored Formal Trousers,Formal Trousers,Office,Amazon,2696,4.2,6,Cream,M,Male,Tailored Formal Trousers for Office occasions.,"formal,trousers,cream"
387,Formal Shirt,Shirt,Office,Myntra,2883,4.1,3,Navy,Free Size,Male,Crisp formal shirt for office and professional settings.,"shirt,navy"
388,Professional Formal Suit,Formal Suit,Office,Amazon,2021,4.7,2,White,Free Size,Male,Professional Formal Suit for Office occasions.,"formal,suit,white"
389,Tailored Blazer,Blazer,Office,Meesho,3653,4.7,8,Navy,M,Male,Tailored Blazer for Office occasions.,"blazer,navy"
390,Structured Formal Trousers,Formal Trousers,Office,Myntra,620,4.9,5,Cream,XXL,Male,Structured Formal Trousers for Office occasions.,"formal,trousers,cream"
391,Structured Shirt,Shirt,Office,Amazon,2151,4.5,4,Light Blue,XS,Male,Crisp formal shirt for office and professional settings.,"shirt,light blue"
392,Structured Formal Suit,Formal Suit,Office,Amazon,4432,4.5,8,Cream,XXL,Male,Structured Formal Suit for Office occasions.,"formal,suit,cream"
393,Formal Blazer,Blazer,Office,Meesho,2122,3.8,6,Light Blue,Free Size,Male,Formal Blazer for Office occasions.,"blazer,light blue"
394,Classic Formal Trousers,Formal Trousers,Office,Amazon,2740,4.6,5,White,M,Male,Classic Formal Trousers for Office occasions.,"formal,trousers,white"
395,Structured Shirt,Shirt,Office,Meesho,4732,4.2,7,Navy,M,Male,Crisp formal shirt for office and professional settings.,"shirt,navy"
396,Professional Formal Suit,Formal Suit,Office,Myntra,613,4.2,2,Light Blue,L,Male,Professional Formal Suit for Office occasions.,"formal,suit,light blue"
397,Structured Blazer,Blazer,Office,Amazon,3745,4.8,7,Navy,Free Size,Male,Structured Blazer for Office occasions.,"blazer,navy"
398,Classic Formal Trousers,Formal Trousers,Office,Myntra,3346,3.9,4,Navy,XXL,Male,Classic Formal Trousers for Office occasions.,"formal,trousers,navy"
399,Crisp Shirt,Shirt,Office,Manyavar,1252,4.5,4,White,XL,Male,Crisp formal shirt for office and professional settings.,"shirt,white"
400,Classic Formal Suit,Formal Suit,Office,Myntra,3842,4.0,3,Charcoal,XL,Male,Classic Formal Suit for Office occasions.,"formal,suit,charcoal"
401,Smart Kurti,Kurti,College,Amazon,1252,4.6,8,Sky Blue,M,Female,Trendy kurti to pair with jeans for college.,"kurti,sky blue"
402,Smart Top,Top,College,Amazon,1219,4.3,6,Black,XL,Female,Smart Top for College occasions.,"top,black"
403,Stylish Oversized Shirt,Oversized Shirt,College,Meesho,1556,4.5,8,White,XXL,Female,Stylish Oversized Shirt for College occasions.,"oversized,shirt,white"
404,Comfortable T-shirt,T-shirt,College,Amazon,994,3.9,8,Coral,S,Female,Comfortable T-shirt for College occasions.,"t-shirt,coral"
405,Smart Jeans,Jeans,College,Myntra,963,3.9,2,Grey,Free Size,Female,Smart Jeans for College occasions.,"jeans,grey"
406,Oversized Kurti,Kurti,College,Meesho,937,4.3,8,Sky Blue,Free Size,Female,Trendy kurti to pair with jeans for college.,"kurti,sky blue"
407,Trendy Top,Top,College,Meesho,1844,4.7,5,Coral,XL,Female,Trendy Top for College occasions.,"top,coral"
408,Casual Oversized Shirt,Oversized Shirt,College,Meesho,1178,4.3,3,Coral,XS,Female,Casual Oversized Shirt for College occasions.,"oversized,shirt,coral"
409,Comfortable T-shirt,T-shirt,College,Amazon,1330,4.3,4,White,M,Female,Comfortable T-shirt for College occasions.,"t-shirt,white"
410,Smart Jeans,Jeans,College,Myntra,1171,4.2,3,Coral,XXL,Female,Smart Jeans for College occasions.,"jeans,coral"
411,Stylish Kurti,Kurti,College,Amazon,1282,4.8,8,White,XL,Female,Trendy kurti to pair with jeans for college.,"kurti,white"
412,Oversized Top,Top,College,Manyavar,406,5.0,4,Black,XS,Female,Oversized Top for College occasions.,"top,black"
413,Comfortable Oversized Shirt,Oversized Shirt,College,Myntra,1664,4.7,2,Mustard,XXL,Female,Comfortable Oversized Shirt for College occasions.,"oversized,shirt,mustard"
414,Comfortable T-shirt,T-shirt,College,Meesho,1675,4.1,7,Mustard,S,Female,Comfortable T-shirt for College occasions.,"t-shirt,mustard"
415,Comfortable Jeans,Jeans,College,Myntra,1154,4.1,7,Grey,XXL,Female,Comfortable Jeans for College occasions.,"jeans,grey"
416,Casual Kurti,Kurti,College,Myntra,684,4.3,3,Navy,XS,Female,Trendy kurti to pair with jeans for college.,"kurti,navy"
417,Trendy Top,Top,College,Myntra,1945,3.8,6,Coral,S,Female,Trendy Top for College occasions.,"top,coral"
418,Smart Oversized Shirt,Oversized Shirt,College,Manyavar,1665,4.7,2,Grey,XL,Female,Smart Oversized Shirt for College occasions.,"oversized,shirt,grey"
419,Oversized T-shirt,T-shirt,College,Manyavar,1083,4.5,7,White,L,Female,Oversized T-shirt for College occasions.,"t-shirt,white"
420,Smart Jeans,Jeans,College,Manyavar,925,4.9,8,Olive,S,Female,Smart Jeans for College occasions.,"jeans,olive"
421,Comfortable Kurti,Kurti,College,Manyavar,1213,3.9,6,White,Free Size,Female,Trendy kurti to pair with jeans for college.,"kurti,white"
422,Trendy Top,Top,College,Manyavar,1343,4.8,6,Black,L,Female,Trendy Top for College occasions.,"top,black"
423,Casual Oversized Shirt,Oversized Shirt,College,Myntra,1892,4.2,3,Coral,L,Female,Casual Oversized Shirt for College occasions.,"oversized,shirt,coral"
424,Stylish T-shirt,T-shirt,College,Myntra,1882,4.7,8,White,L,Female,Stylish T-shirt for College occasions.,"t-shirt,white"
425,Trendy Jeans,Jeans,College,Myntra,1118,4.2,2,Mustard,XS,Female,Trendy Jeans for College occasions.,"jeans,mustard"
426,Oversized Kurti,Kurti,College,Meesho,761,4.3,7,Mustard,L,Female,Trendy kurti to pair with jeans for college.,"kurti,mustard"
427,Comfortable Top,Top,College,Amazon,636,4.4,7,Grey,M,Female,Comfortable Top for College occasions.,"top,grey"
428,Trendy Oversized Shirt,Oversized Shirt,College,Myntra,601,4.2,2,Olive,XXL,Female,Trendy Oversized Shirt for College occasions.,"oversized,shirt,olive"
429,Oversized T-shirt,T-shirt,College,Myntra,509,4.9,8,Mustard,L,Female,Oversized T-shirt for College occasions.,"t-shirt,mustard"
430,Oversized Jeans,Jeans,College,Manyavar,1230,4.1,7,Sky Blue,XL,Female,Oversized Jeans for College occasions.,"jeans,sky blue"
431,Stylish Kurti,Kurti,College,Amazon,1309,4.5,6,Navy,Free Size,Female,Trendy kurti to pair with jeans for college.,"kurti,navy"
432,Smart Top,Top,College,Myntra,1773,4.8,8,Sky Blue,M,Female,Smart Top for College occasions.,"top,sky blue"
433,Smart Oversized Shirt,Oversized Shirt,College,Amazon,1561,4.2,7,White,XL,Female,Smart Oversized Shirt for College occasions.,"oversized,shirt,white"
434,Trendy T-shirt,T-shirt,College,Amazon,1774,3.9,4,Grey,L,Female,Trendy T-shirt for College occasions.,"t-shirt,grey"
435,Casual Jeans,Jeans,College,Manyavar,1270,4.1,7,White,XS,Female,Casual Jeans for College occasions.,"jeans,white"
436,Oversized Kurti,Kurti,College,Meesho,1434,3.9,5,Mustard,L,Female,Trendy kurti to pair with jeans for college.,"kurti,mustard"
437,Smart Top,Top,College,Manyavar,651,4.1,2,White,Free Size,Female,Smart Top for College occasions.,"top,white"
438,Stylish Oversized Shirt,Oversized Shirt,College,Manyavar,1119,4.3,4,White,S,Female,Stylish Oversized Shirt for College occasions.,"oversized,shirt,white"
439,Oversized T-shirt,T-shirt,College,Meesho,1517,4.7,6,White,S,Female,Oversized T-shirt for College occasions.,"t-shirt,white"
440,Oversized Jeans,Jeans,College,Meesho,597,4.7,6,Sky Blue,Free Size,Female,Oversized Jeans for College occasions.,"jeans,sky blue"
441,Comfortable Kurti,Kurti,College,Manyavar,781,4.4,6,Navy,XS,Female,Trendy kurti to pair with jeans for college.,"kurti,navy"
442,Stylish Top,Top,College,Manyavar,1401,4.0,6,Black,XL,Female,Stylish Top for College occasions.,"top,black"
443,Stylish Oversized Shirt,Oversized Shirt,College,Manyavar,698,4.6,2,Coral,L,Female,Stylish Oversized Shirt for College occasions.,"oversized,shirt,coral"
444,Comfortable T-shirt,T-shirt,College,Manyavar,376,4.8,8,Sky Blue,Free Size,Female,Comfortable T-shirt for College occasions.,"t-shirt,sky blue"
445,Trendy Jeans,Jeans,College,Meesho,893,4.3,3,Sky Blue,S,Female,Trendy Jeans for College occasions.,"jeans,sky blue"
446,Stylish Kurti,Kurti,College,Amazon,1289,4.2,6,Coral,M,Female,Trendy kurti to pair with jeans for college.,"kurti,coral"
447,Comfortable Top,Top,College,Amazon,1393,4.8,2,White,XS,Female,Comfortable Top for College occasions.,"top,white"
448,Comfortable Oversized Shirt,Oversized Shirt,College,Meesho,1498,3.8,8,Navy,S,Female,Comfortable Oversized Shirt for College occasions.,"oversized,shirt,navy"
449,Stylish T-shirt,T-shirt,College,Myntra,1302,4.9,3,Coral,XL,Female,Stylish T-shirt for College occasions.,"t-shirt,coral"
450,Comfortable Jeans,Jeans,College,Amazon,702,4.6,3,Olive,S,Female,Comfortable Jeans for College occasions.,"jeans,olive"
451,Smart T-shirt,T-shirt,College,Myntra,1197,4.2,4,Mustard,L,Male,Smart T-shirt for College occasions.,"t-shirt,mustard"
452,Smart Hoodie,Hoodie,College,Amazon,1917,4.8,7,Sky Blue,XXL,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,sky blue"
453,Casual Casual Shirt,Casual Shirt,College,Manyavar,1555,4.4,7,Grey,XS,Male,Casual Casual Shirt for College occasions.,"casual,shirt,grey"
454,Stylish Jeans,Jeans,College,Meesho,518,4.8,7,Coral,XS,Male,Stylish Jeans for College occasions.,"jeans,coral"
455,Trendy T-shirt,T-shirt,College,Manyavar,1280,3.9,4,Navy,L,Male,Trendy T-shirt for College occasions.,"t-shirt,navy"
456,Oversized Hoodie,Hoodie,College,Meesho,1333,4.6,3,Sky Blue,S,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,sky blue"
457,Smart Casual Shirt,Casual Shirt,College,Meesho,537,4.1,3,Mustard,XXL,Male,Smart Casual Shirt for College occasions.,"casual,shirt,mustard"
458,Casual Jeans,Jeans,College,Amazon,1131,4.8,6,Mustard,XL,Male,Casual Jeans for College occasions.,"jeans,mustard"
459,Casual T-shirt,T-shirt,College,Amazon,1649,4.0,3,Olive,XL,Male,Casual T-shirt for College occasions.,"t-shirt,olive"
460,Stylish Hoodie,Hoodie,College,Meesho,1362,4.1,7,White,M,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,white"
461,Casual Casual Shirt,Casual Shirt,College,Meesho,813,4.1,8,Navy,Free Size,Male,Casual Casual Shirt for College occasions.,"casual,shirt,navy"
462,Smart Jeans,Jeans,College,Amazon,1871,4.9,7,Mustard,S,Male,Smart Jeans for College occasions.,"jeans,mustard"
463,Smart T-shirt,T-shirt,College,Myntra,1059,4.7,7,Olive,XL,Male,Smart T-shirt for College occasions.,"t-shirt,olive"
464,Stylish Hoodie,Hoodie,College,Manyavar,902,4.8,2,Sky Blue,XXL,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,sky blue"
465,Trendy Casual Shirt,Casual Shirt,College,Amazon,1499,4.4,7,Coral,XS,Male,Trendy Casual Shirt for College occasions.,"casual,shirt,coral"
466,Stylish Jeans,Jeans,College,Manyavar,1137,4.7,2,White,Free Size,Male,Stylish Jeans for College occasions.,"jeans,white"
467,Stylish T-shirt,T-shirt,College,Meesho,997,4.2,6,Sky Blue,Free Size,Male,Stylish T-shirt for College occasions.,"t-shirt,sky blue"
468,Stylish Hoodie,Hoodie,College,Manyavar,1723,3.9,4,Black,XL,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,black"
469,Comfortable Casual Shirt,Casual Shirt,College,Manyavar,1594,4.0,4,Grey,Free Size,Male,Comfortable Casual Shirt for College occasions.,"casual,shirt,grey"
470,Stylish Jeans,Jeans,College,Myntra,1496,4.4,4,Navy,S,Male,Stylish Jeans for College occasions.,"jeans,navy"
471,Stylish T-shirt,T-shirt,College,Amazon,1974,3.9,7,Olive,L,Male,Stylish T-shirt for College occasions.,"t-shirt,olive"
472,Oversized Hoodie,Hoodie,College,Myntra,348,4.5,3,Coral,XXL,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,coral"
473,Smart Casual Shirt,Casual Shirt,College,Manyavar,1928,4.1,8,White,M,Male,Smart Casual Shirt for College occasions.,"casual,shirt,white"
474,Trendy Jeans,Jeans,College,Myntra,1977,4.6,5,Black,XS,Male,Trendy Jeans for College occasions.,"jeans,black"
475,Comfortable T-shirt,T-shirt,College,Meesho,506,4.1,5,Navy,Free Size,Male,Comfortable T-shirt for College occasions.,"t-shirt,navy"
476,Trendy Hoodie,Hoodie,College,Myntra,826,4.5,2,Sky Blue,XS,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,sky blue"
477,Comfortable Casual Shirt,Casual Shirt,College,Amazon,1003,4.4,4,Grey,XS,Male,Comfortable Casual Shirt for College occasions.,"casual,shirt,grey"
478,Comfortable Jeans,Jeans,College,Myntra,562,4.6,7,Navy,XS,Male,Comfortable Jeans for College occasions.,"jeans,navy"
479,Oversized T-shirt,T-shirt,College,Meesho,1252,4.5,3,Navy,Free Size,Male,Oversized T-shirt for College occasions.,"t-shirt,navy"
480,Smart Hoodie,Hoodie,College,Myntra,1206,4.3,7,Black,Free Size,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,black"
481,Stylish Casual Shirt,Casual Shirt,College,Manyavar,430,4.1,5,Navy,L,Male,Stylish Casual Shirt for College occasions.,"casual,shirt,navy"
482,Smart Jeans,Jeans,College,Myntra,1972,4.6,3,Mustard,XXL,Male,Smart Jeans for College occasions.,"jeans,mustard"
483,Stylish T-shirt,T-shirt,College,Myntra,766,4.6,5,Black,Free Size,Male,Stylish T-shirt for College occasions.,"t-shirt,black"
484,Smart Hoodie,Hoodie,College,Myntra,1797,3.8,5,Grey,Free Size,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,grey"
485,Stylish Casual Shirt,Casual Shirt,College,Myntra,1975,3.9,6,Navy,XL,Male,Stylish Casual Shirt for College occasions.,"casual,shirt,navy"
486,Comfortable Jeans,Jeans,College,Myntra,1491,4.3,5,White,M,Male,Comfortable Jeans for College occasions.,"jeans,white"
487,Trendy T-shirt,T-shirt,College,Amazon,1992,4.4,2,Mustard,XXL,Male,Trendy T-shirt for College occasions.,"t-shirt,mustard"
488,Casual Hoodie,Hoodie,College,Meesho,856,3.9,5,Navy,Free Size,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,navy"
489,Comfortable Casual Shirt,Casual Shirt,College,Myntra,1401,4.1,4,White,S,Male,Comfortable Casual Shirt for College occasions.,"casual,shirt,white"
490,Smart Jeans,Jeans,College,Myntra,1551,4.5,3,White,L,Male,Smart Jeans for College occasions.,"jeans,white"
491,Comfortable T-shirt,T-shirt,College,Amazon,323,4.0,4,Black,XL,Male,Comfortable T-shirt for College occasions.,"t-shirt,black"
492,Casual Hoodie,Hoodie,College,Amazon,1537,4.7,7,White,M,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,white"
493,Stylish Casual Shirt,Casual Shirt,College,Meesho,1523,4.8,5,Sky Blue,S,Male,Stylish Casual Shirt for College occasions.,"casual,shirt,sky blue"
494,Comfortable Jeans,Jeans,College,Manyavar,1323,4.7,3,Black,XXL,Male,Comfortable Jeans for College occasions.,"jeans,black"
495,Stylish T-shirt,T-shirt,College,Meesho,1873,4.0,5,Coral,Free Size,Male,Stylish T-shirt for College occasions.,"t-shirt,coral"
496,Oversized Hoodie,Hoodie,College,Myntra,653,4.2,4,Sky Blue,Free Size,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,sky blue"
497,Oversized Casual Shirt,Casual Shirt,College,Amazon,1384,4.0,6,Black,XS,Male,Oversized Casual Shirt for College occasions.,"casual,shirt,black"
498,Oversized Jeans,Jeans,College,Amazon,1025,5.0,7,Navy,XL,Male,Oversized Jeans for College occasions.,"jeans,navy"
499,Trendy T-shirt,T-shirt,College,Myntra,1713,4.5,2,Navy,S,Male,Trendy T-shirt for College occasions.,"t-shirt,navy"
500,Smart Hoodie,Hoodie,College,Myntra,1903,3.9,7,Black,M,Male,"Comfortable hoodie for college, trendy and casual.","hoodie,black"
501,Modest Saree,Saree,Pooja,Manyavar,1644,4.7,5,Saffron,XXL,Female,Simple cotton saree for pooja and religious ceremonies. Modest and traditional.,"saree,saffron"
502,Elegant Salwar Kameez,Salwar Kameez,Pooja,Manyavar,2679,4.8,6,Pale Pink,XL,Female,Elegant Salwar Kameez for Pooja occasions.,"salwar,kameez,pale pink"
503,Traditional Long Skirt,Long Skirt,Pooja,Manyavar,1715,4.4,7,Saffron,XS,Female,Traditional Long Skirt for Pooja occasions.,"long,skirt,saffron"
504,Pure Cotton Saree,Cotton Saree,Pooja,Myntra,1332,4.9,5,Light Green,M,Female,Pure Cotton Saree for Pooja occasions.,"cotton,saree,light green"
505,Cotton Silk Saree,Silk Saree,Pooja,Meesho,2296,4.3,4,Light Green,XXL,Female,Cotton Silk Saree for Pooja occasions.,"silk,saree,light green"
506,Modest Saree,Saree,Pooja,Myntra,2309,4.9,3,Pale Pink,M,Female,Simple cotton saree for pooja and religious ceremonies. Modest and traditional.,"saree,pale pink"
507,Pure Salwar Kameez,Salwar Kameez,Pooja,Meesho,632,4.8,3,Saffron,XS,Female,Pure Salwar Kameez for Pooja occasions.,"salwar,kameez,saffron"
508,Pure Long Skirt,Long Skirt,Pooja,Meesho,2193,4.7,2,Light Green,S,Female,Pure Long Skirt for Pooja occasions.,"long,skirt,light green"
509,Elegant Cotton Saree,Cotton Saree,Pooja,Manyavar,2869,4.5,7,Light Green,XL,Female,Elegant Cotton Saree for Pooja occasions.,"cotton,saree,light green"
510,Cotton Silk Saree,Silk Saree,Pooja,Amazon,2242,4.6,7,Pale Pink,M,Female,Cotton Silk Saree for Pooja occasions.,"silk,saree,pale pink"
511,Traditional Saree,Saree,Pooja,Amazon,1450,4.4,7,Pale Pink,Free Size,Female,Simple cotton saree for pooja and religious ceremonies. Modest and traditional.,"saree,pale pink"
512,Pure Salwar Kameez,Salwar Kameez,Pooja,Amazon,1472,4.5,2,Cream,M,Female,Pure Salwar Kameez for Pooja occasions.,"salwar,kameez,cream"
513,Traditional Long Skirt,Long Skirt,Pooja,Myntra,2379,4.4,8,Yellow,XS,Female,Traditional Long Skirt for Pooja occasions.,"long,skirt,yellow"
514,Elegant Cotton Saree,Cotton Saree,Pooja,Myntra,478,3.8,2,White,XL,Female,Elegant Cotton Saree for Pooja occasions.,"cotton,saree,white"
515,Simple Silk Saree,Silk Saree,Pooja,Manyavar,941,4.3,6,Yellow,L,Female,Simple Silk Saree for Pooja occasions.,"silk,saree,yellow"
516,Pure Saree,Saree,Pooja,Amazon,513,4.9,3,Saffron,M,Female,Simple cotton saree for pooja and religious ceremonies. Modest and traditional.,"saree,saffron"
517,Modest Salwar Kameez,Salwar Kameez,Pooja,Myntra,2244,4.8,4,Saffron,M,Female,Modest Salwar Kameez for Pooja occasions.,"salwar,kameez,saffron"
518,Pure Long Skirt,Long Skirt,Pooja,Manyavar,964,3.9,5,Yellow,L,Female,Pure Long Skirt for Pooja occasions.,"long,skirt,yellow"
519,Pure Cotton Saree,Cotton Saree,Pooja,Amazon,2300,4.2,8,White,S,Female,Pure Cotton Saree for Pooja occasions.,"cotton,saree,white"
520,Elegant Silk Saree,Silk Saree,Pooja,Amazon,2578,4.4,5,Yellow,M,Female,Elegant Silk Saree for Pooja occasions.,"silk,saree,yellow"
521,Pure Saree,Saree,Pooja,Meesho,481,4.5,8,Light Green,Free Size,Female,Simple cotton saree for pooja and religious ceremonies. Modest and traditional.,"saree,light green"
522,Simple Salwar Kameez,Salwar Kameez,Pooja,Manyavar,2152,4.5,7,Yellow,M,Female,Simple Salwar Kameez for Pooja occasions.,"salwar,kameez,yellow"
523,Simple Long Skirt,Long Skirt,Pooja,Meesho,412,4.8,5,Cream,XXL,Female,Simple Long Skirt for Pooja occasions.,"long,skirt,cream"
524,Simple Cotton Saree,Cotton Saree,Pooja,Meesho,1319,4.3,3,Light Green,L,Female,Simple Cotton Saree for Pooja occasions.,"cotton,saree,light green"
525,Modest Silk Saree,Silk Saree,Pooja,Amazon,2565,3.9,5,Cream,M,Female,Modest Silk Saree for Pooja occasions.,"silk,saree,cream"
526,Modest Saree,Saree,Pooja,Manyavar,2368,4.7,6,Yellow,Free Size,Female,Simple cotton saree for pooja and religious ceremonies. Modest and traditional.,"saree,yellow"
527,Pure Salwar Kameez,Salwar Kameez,Pooja,Myntra,2191,4.9,4,Light Green,S,Female,Pure Salwar Kameez for Pooja occasions.,"salwar,kameez,light green"
528,Modest Long Skirt,Long Skirt,Pooja,Manyavar,1498,4.0,8,Yellow,M,Female,Modest Long Skirt for Pooja occasions.,"long,skirt,yellow"
529,Modest Cotton Saree,Cotton Saree,Pooja,Amazon,1469,5.0,4,Light Green,XS,Female,Modest Cotton Saree for Pooja occasions.,"cotton,saree,light green"
530,Traditional Silk Saree,Silk Saree,Pooja,Meesho,1721,4.8,6,Light Green,S,Female,Traditional Silk Saree for Pooja occasions.,"silk,saree,light green"
531,Traditional Saree,Saree,Pooja,Manyavar,766,4.7,2,Pale Pink,XS,Female,Simple cotton saree for pooja and religious ceremonies. Modest and traditional.,"saree,pale pink"
532,Elegant Salwar Kameez,Salwar Kameez,Pooja,Myntra,654,4.7,4,White,L,Female,Elegant Salwar Kameez for Pooja occasions.,"salwar,kameez,white"
